Data;Exportações - (FOB) (Antiga metod. - BPM5) - US$ - Banco Central do Brasil, Balanço de Pagamentos (BPM5) (BCB / BP (BPM5)) - BPN_XTV;
1889;138,8;
1890;128,2;
1891;131,9;
1892;150;
1893;155,6;
1894;148,2;
1895;158,4;
1896;137,7;
1897;125,8;
1898;121,6;
1899;124,1;
1900;161,2;
1901;197,8;
1902;176,9;
1903;179,3;
1904;191,5;
1905;216,8;
1906;258,1;
1907;263,4;
1908;214,8;
1909;309,6;
1910;307,3;
1911;325;
1912;363,3;
1913;318,9;
1914;228,6;
1915;256,8;
1916;269,4;
1917;300,1;
1918;291,6;
1919;580,6;
1920;408,2;
1921;224,2;
1922;366,1;
1923;336,6;
1924;422,7;
1925;496,9;
1926;458,1;
1927;431,2;
1928;473,9;
1929;460,4;
1930;319,4;
1931;244;
1932;179,4;
1933;216,8;
1934;292,8;
1935;269,5;
1936;320,6;
1937;346,8;
1938;294,3;
1939;299,9;
1940;272,6;
1941;370,4;
1942;400,8;
1943;466,5;
1944;574,5;
1945;655,4;
1946;985,4;
1947;1152,308;
1948;1180,461;
1949;1096,468;
1950;1355,467;
1951;1769,002;
1952;1418,117;
1953;1539,321;
1954;1561,836;
1955;1423,246;
1956;1481,969;
1957;1391,607;
1958;1242,985;
1959;1281,969;
1960;1268,772;
1961;1402,97;
1962;1214,185;
1963;1406,48;
1964;1429,79;
1965;1595,479;
1966;1741,442;
1967;1654,037;
1968;1881,344;
1969;2311,169;
1970;2738,922;
1971;2903,856;
1972;3991,219;
1973;6199,2;
1974;7950,996;
1975;8669,944;
1976;10128,303;
1977;12120,175;
1978;12658,944;
1979;15244,377;
1980;20132,401;
1981;23293,035;
1982;20175,071;
1983;21899,314;
1984;27005,336;
1985;25639,011;
1986;22348,603;
1987;26223,925;
1988;33789,365307;
1989;34382,61971;
1990;31413,75604;
1991;31620,439443;
1992;35792,985844;
1993;38554,769047;
1994;43545,162212;
1995;46506,283;
1996;47746,727;
1997;52994,34;
1998;51139,862;
1999;48011,445;
2000;55085,594537;
2001;58222,643;
2002;60361,785;
2003;73084,140087;
2004;96475,238342;
2005;118308,387113;
2006;137807,469531;
2007;160649,07283;
2008;197942,442909;
2009;152994,7423;
2010;201915,285335;
2011;256039,574768;
2012;242578,013546;
2013;242033,57472;
2014;225100,884831;
