data,importacao,exportacao,saldo,deflator
1929,39.554647160068846,49.526678141135974,9.972030981067125,9.296
1930,25.331386205347115,35.879577623006064,10.548191417658952,8.902
1931,14.655931563718706,30.695684991822873,16.039753428104163,7.949
1932,13.238231098430813,25.59201141226819,12.353780313837376,7.01
1933,21.919834344031948,32.066262387220824,10.14642804318888,6.761
1934,26.14601018675722,41.42614601018676,15.280135823429543,7.068
1935,27.133388566694283,37.2134769400718,10.08008837337752,7.242
1936,26.87465790914067,43.86973180076629,16.99507389162562,7.308
1937,36.85808580858085,45.78217821782178,8.924092409240927,7.575
1938,33.30181032153472,39.759524452850584,6.457714131315862,7.402
1939,29.73673441549584,40.90847087709725,11.171736461601414,7.331
1940,30.74529960773705,36.87271743541188,6.1274178276748295,7.393
1941,32.23382577687213,47.172694854814054,14.938869077941924,7.852
1942,23.725934314835786,45.390713476783695,21.664779161947905,8.83
1943,28.562538892345987,48.38207840696951,19.819539514623525,9.642
1944,35.337387210670855,56.34562573558258,21.00823852491173,10.196
1945,36.72199170124481,61.80686533383629,25.084873632591478,10.604
1946,51.52530417915711,86.88062070181626,35.355316522659145,11.342
1947,84.54362792186998,92.24367595260966,7.700048030739679,12.492
1948,73.71891809985605,89.43563906356542,15.716720963709376,13.199
1949,73.1062919975565,83.7254123396457,10.619120342089195,13.096
1950,71.07478116510715,102.28395713854513,31.209175973437976,13.252
1951,121.85051218650655,124.97364888731897,3.123136700812424,14.155
1952,119.08965039806161,98.17355486327449,-20.916095534787125,14.445
1953,78.2099760847284,105.18079945336521,26.970823368636818,14.635
1954,95.85899173329719,105.82978723404256,9.970795500745368,14.758
1955,74.49986501079913,96.06142008639308,21.56155507559396,14.816
1956,71.10925815630996,98.0721990602872,26.96294090397724,15.111
1957,82.5490044958253,89.37745664739884,6.828452151573536,15.57
1958,73.85976910528296,77.9887689797967,4.12899987451374,15.938
1959,74.78981206726014,79.25129821958458,4.461486152324437,16.176
1960,78.63268657624232,77.1712182957241,-1.461468280518218,16.441
1961,77.76504936190707,84.45521309896462,6.690163737057546,16.612
1962,77.58538617160538,72.2471141259074,-5.338272045697973,16.806
1963,76.08631739871817,82.70006467924972,6.6137472805315465,17.007
1964,62.96510953981686,82.86716123797379,19.90205169815694,17.254
1965,53.74242943663582,91.15981030739344,37.41738087075763,17.502
1966,72.63709317877843,97.04870708872046,24.411613909942037,17.944
1967,78.35096493612396,89.91774938842077,11.566784452296817,18.395
1968,97.04943761443893,98.42239079257129,1.3729531781323643,19.115
1969,99.78183820584702,115.6972867440929,15.915448538245892,19.976
1970,119.89000478240077,130.98622668579628,11.0962219033955,20.91
1971,148.97664923387467,133.2166253784751,-15.76002385539957,21.798
1972,187.75388164315498,177.05700470233342,-10.696876940821573,22.542
1973,260.6599595891564,260.9530223943425,0.29306280518603867,23.756
1974,481.95966296847,303.13759579091845,-178.82206717755156,26.229
1975,429.7145873658279,305.11856413865917,-124.59602322716877,28.415
1976,413.1241075598852,337.90294922265963,-75.2211583372256,29.974
1977,376.63790997086744,379.6690473952949,3.031137424427498,31.923
1978,400.73644750329476,370.7407819592912,-29.995665544003543,34.145
1979,486.41295927699184,410.03757598579807,-76.37538329119373,37.178
1980,557.4078238065174,488.86409110776555,-68.54373269875188,41.182
1981,492.3130752601903,519.1111185398141,26.798043279623766,44.871
1982,409.49682241412074,425.96691510250616,16.470092688385456,47.363
1983,312.4655717120985,443.5034630807242,131.03789136862568,49.378
1984,271.56530648088517,527.0053665866557,255.44006010577053,51.243
1985,248.03399898172768,483.4721389376025,235.43813995587485,53.031
1986,259.19651557655396,412.4576074117821,153.26109183522811,54.184
1987,269.46248321546864,469.50004475875033,200.03756154328173,55.855
1988,251.64985009821154,582.1938265791379,330.5439764809263,58.038
1989,301.51609222082806,567.6322345308063,266.1161423099782,60.572
1990,326.7600075753981,496.8094137369328,170.0494061615347,63.231
1991,321.99052401867016,483.8999073073686,161.90938328869845,65.345
1992,306.3796421214244,533.5308754900353,227.15123336861095,67.087
1993,367.31727111027084,560.7313919398471,193.4141208295762,68.758
1994,471.2534032168451,620.3633156012709,149.1099123844258,70.193
1995,697.2401389683414,648.8856441238437,-48.354494844497744,71.671
1996,728.727501229441,652.2420496147752,-76.48545161466583,73.204
1997,802.2130964848681,711.5435430596955,-90.66955342517258,74.478
1998,768.8072998534702,681.2290129212736,-87.57828693219663,75.07
1999,646.1098813087548,630.3692689459587,-15.740612362796101,76.164
2000,714.3468049686259,705.4116344858496,-8.935170482776279,78.09
2001,697.6521040474038,730.9260193833483,33.27391533594452,79.656
2002,585.3694827885306,747.9589725161707,162.58948972764003,80.702
2003,586.0605354498896,886.964975933882,300.9044404839924,82.398
2004,744.1078316260673,1142.4894703172554,398.3816386911881,84.443
2005,847.2479034255721,1361.8074855311017,514.5595821055298,86.876
2006,1022.7137861333154,1542.8166580573657,520.1028719240502,89.322
2007,1316.5831232126093,1753.5428300259784,436.95970681336905,91.614
2008,1835.2153777047442,2098.5151646859263,263.299786981182,94.325
2009,1357.6676723862984,1626.5308232867685,268.86315090047003,94.062
2010,1898.4242580759712,2108.8418993284386,210.41764125246723,95.747
2011,2304.642516053784,2608.124424651115,303.48190859733114,98.17
2012,2231.83476643,2425.78013546,193.94536903,100.0
2013,2364.3279010399197,2388.0021974465735,23.674296406653852,101.354
2014,2226.044296266778,2187.845741745799,-38.19855452097942,102.887
