,YEAR,base_monetaria_m0,base_monetaria_m1,base_monetaria_m3,cambio,divida_externa,exportacao,importacao,inflacao,pib,pib_industria,pib_nominal_brl,salario
0,1900,,,,,,,,,,,1.40705909321707e-06,
1,1901,,,,,,,,,,,1.32336299439483e-06,
2,1902,,,,,,,,,,,1.2156645567239e-06,
3,1903,,,,,,,,,,,1.2631018032428199e-06,
4,1904,,,,,,,,,,,1.35769258069141e-06,
5,1905,,,,,,,,,,,1.2566709165536499e-06,
6,1906,,,,,,,,,,,1.72620130235328e-06,
7,1907,,,,,,,,,,,1.6502790106758802e-06,
8,1908,,,,,,,,,,,1.63408830771728e-06,
9,1909,,,,,,,,,,,1.77134834935002e-06,
10,1910,,,,,,,,,,,1.89642025298511e-06,
11,1911,,,,,,,,,,,2.05121973420172e-06,
12,1912,,,,,,,,,,,2.35491031948926e-06,
13,1913,,,,,,,,,,,2.15402549653641e-06,
14,1914,,,,,,,,,,,1.8451861825933601e-06,
15,1915,,,,,,,,,,,2.09642725990489e-06,
16,1916,,,,,,,,,,,2.55790527713699e-06,
17,1917,,,,,,,,,,,3.04590346721438e-06,
18,1918,,,,,,,,,,,3.23306397411171e-06,
19,1919,,,,,,,,,,,3.7935326301501503e-06,
20,1920,,,,,,,,,,,5.07909421058301e-06,
21,1921,,,,,,,,,,,4.38319525290845e-06,
22,1922,,,,,,,,,,,5.15603681329912e-06,
23,1923,,,,,,,,,,,7.287650169999639e-06,
24,1924,,,,,,,,,,,8.20321972438475e-06,
25,1925,,,,,,,,,,,9.71166302081087e-06,
26,1926,,,,,,,,,,,8.37125013832596e-06,
27,1927,,,,,,,,,,,9.06790931916658e-06,
28,1928,,,,,,,,,,,1.12781875209713e-05,
29,1929,,,,,13182013769.36317,4952667814.113598,3955464716.006885,,,,1.09902523096815e-05,
30,1930,,,,,14530442597.169178,3587957762.300607,2533138620.534712,,,,9.42951399662524e-06,
31,1931,,,,,15518933199.144545,3069568499.182287,1465593156.3718708,,,,8.127445279516691e-06,
32,1932,,,,,13417974322.396578,2559201141.226819,1323823109.8430815,,,,8.60886200905008e-06,
33,1933,,,,,16621801508.652565,3206626238.7220826,2191983434.4031944,,,,9.183478810044949e-06,
34,1934,,,,,18829937747.5948,4142614601.0186768,2614601018.675722,,,,1.06559484633166e-05,
35,1935,,,,,17520022093.34438,3721347694.00718,2713338856.6694283,,,,1.15008409660154e-05,
36,1936,,,,,17185276409.414345,4386973180.07663,2687465790.9140673,,,,1.3103794242950801e-05,
37,1937,,,,,15840264026.402641,4578217821.782179,3685808580.8580856,,,,1.50014289622353e-05,
38,1938,,,,,16033504458.254524,3975952445.285058,3330181032.153472,,,,1.6171540421289602e-05,
39,1939,,,,,14766061928.795525,4090847087.7097254,2973673441.549584,,,,1.6914111154920298e-05,
40,1940,,,,,13152982551.061815,3687271743.5411882,3074529960.773705,,,,1.78668830362769e-05,1110.54516725645
41,1941,,,,,12293683138.053997,4717269485.481405,3223382577.687213,,,,2.06569969247836e-05,1055.10097163783
42,1942,,,,7.06181818181818e-15,10582106455.266136,4539071347.678369,2372593431.4835787,,37468299462.521774,,2.33636783135054e-05,982.305957629401
43,1943,,,,7.06181818181818e-15,9455507156.191662,4838207840.696951,2856253889.2345986,,43411730649.768524,,2.95590694999448e-05,825.841463219787
44,1944,,,,7e-15,7384268340.525696,5634562573.558258,3533738721.0670853,,53760850458.51931,,3.83701941892544e-05,1011.47749346929
45,1945,,,,7e-15,6583364768.012072,6180686533.383629,3672199170.124481,11.1110545790605,61308250723.47188,,4.5507888347018704e-05,800.753048561733
46,1946,9.34545454545455e-06,1.60363672727273e-05,0.0,6.72727272727273e-15,5678010932.816081,8688062070.181625,5152530417.91571,22.2222731010937,76259442958.31607,,5.81865095913258e-05,742.196283318433
47,1947,9.23636363636364e-06,1.5745454545454498e-05,0.0,6.68363636363636e-15,5003202049.31156,9224367595.260967,8454362792.186999,2.72725161044742,77742900178.63885,18423107437.290913,6.490909090909091e-05,554.145625158279
