DATE,DPCERG3A086NBEA
1929-01-01,9.296
1930-01-01,8.902
1931-01-01,7.949
1932-01-01,7.01
1933-01-01,6.761
1934-01-01,7.068
1935-01-01,7.242
1936-01-01,7.308
1937-01-01,7.575
1938-01-01,7.402
1939-01-01,7.331
1940-01-01,7.393
1941-01-01,7.852
1942-01-01,8.83
1943-01-01,9.642
1944-01-01,10.196
1945-01-01,10.604
1946-01-01,11.342
1947-01-01,12.492
1948-01-01,13.199
1949-01-01,13.096
1950-01-01,13.252
1951-01-01,14.155
1952-01-01,14.445
1953-01-01,14.635
1954-01-01,14.758
1955-01-01,14.816
1956-01-01,15.111
1957-01-01,15.57
1958-01-01,15.938
1959-01-01,16.176
1960-01-01,16.441
1961-01-01,16.612
1962-01-01,16.806
1963-01-01,17.007
1964-01-01,17.254
1965-01-01,17.502
1966-01-01,17.944
1967-01-01,18.395
1968-01-01,19.115
1969-01-01,19.976
1970-01-01,20.91
1971-01-01,21.798
1972-01-01,22.542
1973-01-01,23.756
1974-01-01,26.229
1975-01-01,28.415
1976-01-01,29.974
1977-01-01,31.923
1978-01-01,34.145
1979-01-01,37.178
1980-01-01,41.182
1981-01-01,44.871
1982-01-01,47.363
1983-01-01,49.378
1984-01-01,51.243
1985-01-01,53.031
1986-01-01,54.184
1987-01-01,55.855
1988-01-01,58.038
1989-01-01,60.572
1990-01-01,63.231
1991-01-01,65.345
1992-01-01,67.087
1993-01-01,68.758
1994-01-01,70.193
1995-01-01,71.671
1996-01-01,73.204
1997-01-01,74.478
1998-01-01,75.07
1999-01-01,76.164
2000-01-01,78.09
2001-01-01,79.656
2002-01-01,80.702
2003-01-01,82.398
2004-01-01,84.443
2005-01-01,86.876
2006-01-01,89.322
2007-01-01,91.614
2008-01-01,94.325
2009-01-01,94.062
2010-01-01,95.747
2011-01-01,98.17
2012-01-01,100.0
2013-01-01,101.354
2014-01-01,102.887
2015-01-01,103.116
2016-01-01,104.148
2017-01-01,106.054
2018-01-01,108.317
2019-01-01,109.933
2020-01-01,111.145
2021-01-01,115.621
2022-01-01,122.861
